# Waypoints
#WP x y v alpha

WP  -16.0  9.0  2.0  0.41
WP  -14.5  12.0  2.0  0.41
WP  -12.0  13.0  2.0  0.41
WP   -9.8  12.0  2.0  0.41
WP   -8.5  8.5  2.0  0.41

WP  -10.5  3.5  2.0  0.41
WP  -10.0  1.5  2.0  0.41
WP   -8.0  0.5  2.0  0.41
WP   -6.0  1.0  2.0  0.41
WP   -4.0  4.0  2.0  0.41

WP   -6.0  10.0  2.0  0.41
WP   -3.0  13.0  2.0  0.41

WP   9.0  15.5  2.0  0.41
WP  13.5  12.0  2.0  0.41

WP  13.5  8.0  2.0  0.41
WP   9.0  6.0  2.0  0.41

WP  5.0  7.0  2.0  0.41
WP  2.0  6.0  2.0  0.41
WP  1.0  4.0  2.0  0.41
WP  2.5  1.5  2.0  0.41
WP  6.0  0.5  2.0  0.41

WP  12.5  0.5  2.0  0.41
WP  15.5 -2.0  2.0  0.41

WP  15.5  -10.0  2.0  0.41
WP  12.0  -13.0  2.0  0.41
WP   9.0  -11.0  2.0  0.41

WP  8.0  -7.0  2.0  0.41
WP  6.0  -4.5  2.0  0.41
WP  3.0  -4.5  2.0  0.41
WP  1.5  -6.0  2.0  0.41

WP  -1.5  -12.5  2.0  0.41
WP  -8.0  -12.0  2.0  0.41

WP  -13.5  -2.5  2.0  0.41
